揹包	背包
你当前的皮肤违反了我们的社区准则。你仍然可以使用默认皮肤，或者选择新皮肤进行游戏。\n\n通过以下链接了解更多或提交案件审查：%s	你現在使用的外觀違反社群準則。你可以使用預設外觀，或是使用一個新的外觀遊玩。\n\n前往以下連結以了解更多或提交個案複查：%s
当前皮肤不允许使用	該外觀不被允許使用
账户已被永久封禁	帳號已被永久封鎖
账户已被暂时封禁	帳號已暫時停權
取消	取消
你有一份聊天举报草稿将在退出时丢失	您有一份聊天訊息檢舉草稿，如果離開，將遺失您的草稿
我们已经成功收到你的举报。非常感谢！\n\n我们的团队会尽快进行审核。	謝謝，您已成功向我們提出檢舉！\n\n我們的團隊將會儘快進行審核。
选择要举报的聊天消息	選擇要檢舉的聊天訊息
已选中%s条要举报的聊天消息	已選取 %s 則待檢舉訊息
请选择至少一条要举报的聊天消息	請選擇至少一則要檢舉的聊天訊息
举报中包含的消息过多	嘗試在檢舉中選取過多訊息
举报玩家聊天	檢舉玩家聊天
所选消息前后的部分消息将会用于提供额外的辅助信息	本訊息前後的其他訊息將會被採用，並作為額外的對話情境資訊使用
已隐藏%s条消息	已隱藏 %s 則訊息
%s加入了聊天	%s 加入了聊天
%1$s在%3$s说：%2$s	%1$s 在 %3$s 說：%2$s
已选中%s条消息，共%s条	已選取 %2$s 則中的 %1$s 則訊息
继续	繼續
复制链接到剪贴板	複製連結到剪貼簿
%s天	%s 天
向下	下
类型：%s	類型：%s
拒绝了%s个文件	已拒絕 %s 個檔案
添加文件失败	無法新增檔案
%s小时	%s 小時
正在加载Minecraft	正在載入 Minecraft
%s分钟	%s 分鐘
%s按钮	%s 按鈕
%s编辑框：%s	%s 編輯欄：%s
%s滑块	%s 滑桿
%s标签页	%s 頁籤
否	否
无	無
确定	確定
打开报告目录	開啟報告資料夾
单击鼠标右键获取更多信息	按下右鍵以查看更多
搜索…	搜尋...
显示全部	已列出所有項目
仅显示可冶炼	已列出高爐可熔煉項目
仅显示可合成	已列出可合成項目
仅显示可烧炼	已列出可熔煉項目
仅显示可熏制	已列出可燻製項目
向服务器报告	向伺服器回報
使用Microsoft账户管理	以 Microsoft 帳號管理
未屏蔽任何玩家的聊天消息	聊天室中沒有已封鎖的玩家
未隐藏任何玩家的聊天消息	聊天室中沒有被隱藏的玩家
%s的聊天消息将会被隐藏	將會隱藏 %s 的聊天訊息
在聊天中隐藏	在聊天室中隱藏
隐藏%s发送的消息	隱藏來自 %s 的訊息
举报玩家%s	檢舉玩家 %s
显示%s发送的消息	顯示來自 %s 的訊息
举报	檢舉
未找到使用此名称的玩家	找不到使用此名稱的玩家
%s - %s名玩家	%s - %s 位玩家
在聊天中显示	在聊天室中顯示
%s的聊天消息将会被显示	將會顯示 %s 的聊天訊息
已屏蔽	已封鎖
已屏蔽 - 离线	已封鎖 - 離線
隐藏	隱藏
隐藏 - 离线	隱藏 - 離線
离线	離線
已隐藏	隱藏
社交	社群交流
隐藏消息	隱藏訊息
举报服务不可用	檢舉服務目前無法使用
玩家%s没有可举报的消息	玩家 %s 沒有可以檢舉的訊息
无法举报该玩家，服务器无法验证其聊天消息。	無法檢舉此玩家，因為此伺服器無法驗證該玩家的聊天訊息
显示消息	顯示訊息
统计信息	統計
返回到服务器列表	返回伺服器清單
返回到Realm列表	返回 Realms 清單
返回到标题屏幕	返回標題畫面
返回到世界列表	返回世界清單
点击以禁用槽位	按此停用欄位
向上	上
返回（%s秒）	返回（%s 秒）
正在等待服务器响应	正在等待伺服器回應
是	是
编辑悬挂式告示牌消息	編輯懸掛式告示牌訊息
仰慕	仰慕
呼唤	呼喚
想象	夢想
感受	感覺
沉思	沉思
寻觅	尋覓
歌颂	歌頌
憧憬	嚮往
摧毁物品	銷毀物品
用%1$s+%2$s来保存快捷栏	按下 %1$s + %2$s 儲存快捷欄
已保存物品快捷栏（用%1$s+%2$s来加载）	快捷欄已儲存（按 %1$s + %2$s 復原）
能破坏：	可破壞：
可以放在：	可置於：
未知	未知
颜色：%s	顏色：%s
%s个组件	%s 個元件
已禁用物品	已停用的物品
耐久度：%s / %s	耐久度：%s / %s
已染色	已染色
悦灵刷怪蛋	悅靈 生怪蛋
紫水晶碎片	紫水晶碎片
垂钓纹样陶片	垂釣陶器碎片
苹果	蘋果
弓箭纹样陶片	弓箭陶器碎片
犰狳鳞甲	犰狳鱗甲
犰狳刷怪蛋	犰狳 生怪蛋
举臂纹样陶片	人形陶器碎片
美西螈桶	六角恐龍桶
美西螈刷怪蛋	六角恐龍 生怪蛋
烤马铃薯	烤馬鈴薯
蝙蝠刷怪蛋	蝙蝠 生怪蛋
蜜蜂刷怪蛋	蜜蜂 生怪蛋
生牛肉	生牛肉
甜菜种子	甜菜種子
甜菜汤	甜菜湯
黑色收纳袋	黑色束口袋
黑色染料	黑色染料
黑色挽具	黑色帽鞍
利刃纹样陶片	利刃陶器碎片
烈焰粉	烈焰粉
烈焰棒	烈焰桿
烈焰人刷怪蛋	烈焰使者 生怪蛋
蓝色收纳袋	藍色束口袋
蓝色染料	藍色染料
蓝色鸡蛋	藍色雞蛋
蓝色挽具	藍色帽鞍
沼骸刷怪蛋	沼骸 生怪蛋
锻造模板	鍛造模板
镶铆盔甲纹饰	鑲鉚盔甲紋樣
骨头	骨頭
骨粉	骨粉
书	書
波纹边旗帜图案	鋸齒框邊旗幟圖案
弓	弓
碗	碗
面包	麵包
旋风棒	旋風桿
旋风人刷怪蛋	旋風使者 生怪蛋
佳酿纹样陶片	釀造陶器碎片
红砖	紅磚頭
棕色收纳袋	棕色束口袋
棕色染料	棕色染料
棕色鸡蛋	棕色雞蛋
棕色挽具	棕色帽鞍
刷子	刷子
铁桶	鐵桶
空	空
可容纳一组混合的物品	可容納一組混合的物品
满	滿
烈焰纹样陶片	烈焰陶器碎片
骆驼刷怪蛋	駱駝 生怪蛋
胡萝卜钓竿	胡蘿蔔釣竿
猫刷怪蛋	貓 生怪蛋
洞穴蜘蛛刷怪蛋	洞穴蜘蛛 生怪蛋
锁链靴子	鎖鏈靴子
锁链胸甲	鎖鏈胸甲
锁链头盔	鎖鏈頭盔
锁链护腿	鎖鏈護腿
木炭	木炭
生鸡肉	生雞肉
鸡刷怪蛋	雞 生怪蛋
紫颂果	歌萊果
黏土球	黏土球
时钟	時鐘
煤炭	煤炭
海岸盔甲纹饰	海岸盔甲紋樣
可可豆	可可豆
生鳕鱼	生鱈魚
鳕鱼桶	鱈魚桶
鳕鱼刷怪蛋	鱈魚 生怪蛋
指南针	羅盤
牛排	牛排
熟鸡肉	烤雞
熟鳕鱼	烤鱈魚
熟羊肉	烤羊肉
熟猪排	烤豬肉
熟兔肉	烤兔肉
熟鲑鱼	烤鮭魚
曲奇	餅乾
铜斧	銅斧
铜靴子	銅製靴子
铜胸甲	銅製胸甲
铜傀儡刷怪蛋	銅魔像 生怪蛋
铜头盔	銅製頭盔
铜锄	銅鋤
铜马铠	銅製馬鎧
铜锭	銅錠
铜护腿	銅製護腿
铜粒	銅粒
铜镐	銅鎬
铜锹	銅鏟
铜剑	銅劍
牛刷怪蛋	牛 生怪蛋
嘎枝刷怪蛋	嘎枝 生怪蛋
旗帜图案	旗幟圖案
苦力怕盾徽	苦力怕圖紋
苦力怕盾徽旗帜图案	苦力怕圖紋旗幟圖案
苦力怕刷怪蛋	苦力怕 生怪蛋
弩	弩
弹射物：	投射物：
弹射物：%s × %s	投射物：%s × %s
弹射物：%s	投射物：%s
青色收纳袋	青色束口袋
青色染料	青色染料
青色挽具	青色帽鞍
危机纹样陶片	危機陶器碎片
调试棒	除錯棒
%s不具备属性	%s 沒有屬性
已选择“%s”（%s）	選擇 "%s" (%s)
“%s”设为%s	"%s" to %s
钻石	鑽石
钻石斧	鑽石斧
钻石靴子	鑽石靴子
钻石胸甲	鑽石胸甲
钻石头盔	鑽石頭盔
钻石锄	鑽石鋤
钻石马铠	鑽石製馬鎧
钻石护腿	鑽石護腿
钻石镐	鑽石鎬
钻石锹	鑽石鏟
钻石剑	鑽石劍
唱片残片	唱片碎片
音乐唱片 - 5	唱片 - 5
海豚刷怪蛋	海豚 生怪蛋
驴刷怪蛋	驢子 生怪蛋
龙息	龍之吐息
干海带	海帶乾
溺尸刷怪蛋	沉屍 生怪蛋
沙丘盔甲纹饰	沙丘盔甲紋樣
回响碎片	回聲碎片
鸡蛋	雞蛋
远古守卫者刷怪蛋	遠古深海守衛 生怪蛋
鞘翅	鞘翅
绿宝石	綠寶石
附魔书	附魔書
附魔金苹果	附魔金蘋果
末影龙刷怪蛋	終界龍 生怪蛋
末影珍珠	終界珍珠
末影人刷怪蛋	終界使者 生怪蛋
末影螨刷怪蛋	終界蟎 生怪蛋
唤魔者刷怪蛋	喚魔者 生怪蛋
附魔之瓶	經驗瓶
探险纹样陶片	探險陶器碎片
眼眸盔甲纹饰	眼眸盔甲紋樣
羽毛	羽毛
发酵蛛眼	發酵蜘蛛眼
砖纹旗帜图案	磚牆花紋旗幟圖案
地图	地圖
火焰弹	火焰彈
飞行时间：	飛行時間：
%s × %s	%s × %s
烟火之星	火藥球
淡化至	淡出
闪烁	閃爍
未知形状	未知形狀
喷发状	爆裂
苦力怕状	苦力怕形
大型球状	大型球狀
小型球状	小型球狀
星形	星形
踪迹	軌跡
钓鱼竿	釣竿
燧石	燧石
打火石	打火石
涡流盔甲纹饰	渦流盔甲紋樣
涡流	渦流
涡流旗帜图案	渦流旗幟圖案
涡流纹样陶片	渦流陶器碎片
花朵盾徽	花朵圖紋
花朵盾徽旗帜图案	花朵圖紋旗幟圖案
狐狸刷怪蛋	狐狸 生怪蛋
挚友纹样陶片	摯友陶器碎片
青蛙刷怪蛋	青蛙 生怪蛋
恶魂刷怪蛋	地獄幽靈 生怪蛋
恶魂之泪	幽靈之淚
玻璃瓶	玻璃瓶
闪烁的西瓜片	鑲金西瓜片
地球	地球
地球旗帜图案	地球旗幟圖案
发光浆果	螢光莓
荧光墨囊	螢光墨囊
发光鱿鱼刷怪蛋	螢光魷魚 生怪蛋
荧石粉	螢石粉
山羊角	山羊角
山羊刷怪蛋	山羊 生怪蛋
金锭	金錠
金粒	金粒
金苹果	金蘋果
金斧	金斧
金靴子	黃金靴子
金胡萝卜	金胡蘿蔔
金胸甲	黃金胸甲
金头盔	黃金頭盔
金锄	金鋤
金马铠	黃金製馬鎧
金护腿	黃金護腿
金镐	金鎬
金锹	金鏟
金剑	金劍
灰色收纳袋	灰色束口袋
灰色染料	灰色染料
灰色挽具	灰色帽鞍
绿色收纳袋	綠色束口袋
绿色染料	綠色染料
绿色挽具	綠色帽鞍
守卫者刷怪蛋	深海守衛 生怪蛋
火药	火藥
旋风	狂風
旋风旗帜图案	狂風旗幟圖案
旋风纹样陶片	狂風陶器碎片
快乐恶魂刷怪蛋	快樂幽靈 生怪蛋
挽具	帽鞍
海洋之心	海洋之心
爱心纹样陶片	愛心陶器碎片
心碎纹样陶片	心碎陶器碎片
疣猪兽刷怪蛋	豬布獸 生怪蛋
蜂蜜瓶	蜂蜜瓶
蜜脾	蜂巢
马刷怪蛋	馬 生怪蛋
雇主盔甲纹饰	主人盔甲紋樣
狼嚎纹样陶片	狼嚎陶器碎片
尸壳刷怪蛋	屍殼 生怪蛋
墨囊	墨囊
铁斧	鐵斧
铁靴子	鐵製靴子
铁胸甲	鐵製胸甲
铁傀儡刷怪蛋	鐵魔像 生怪蛋
铁头盔	鐵製頭盔
铁锄	鐵鋤
铁马铠	鐵製馬鎧
铁锭	鐵錠
铁护腿	鐵製護腿
铁粒	鐵粒
铁镐	鐵鎬
铁锹	鐵鏟
铁剑	鐵劍
知识之书	知識之書
青金石	青金石
熔岩桶	熔岩桶
拴绳	拴繩
皮革	皮革
皮革靴子	皮革靴子
皮革外套	皮革上衣
皮革帽子	皮革帽子
皮革马铠	皮革製馬鎧
皮革裤子	皮革褲子
淡蓝色收纳袋	淺藍色束口袋
淡蓝色染料	淺藍色染料
淡蓝色挽具	淺藍色帽鞍
淡灰色收纳袋	淺灰色束口袋
淡灰色染料	淺灰色染料
淡灰色挽具	淺灰色帽鞍
黄绿色收纳袋	淺綠色束口袋
黄绿色染料	淺綠色染料
黄绿色挽具	淺綠色帽鞍
滞留型粗制的药水	滯留 基礎藥水
不可合成的滞留型药水	滯留 不可合成的藥水
滞留型抗火药水	滯留 抗火藥水
滞留型伤害药水	滯留 傷害藥水
滞留型治疗药水	滯留 治療藥水
滞留型虫蚀药水	滯留 蛀蝕藥水
滞留型隐身药水	滯留 隱形藥水
滞留型跳跃药水	滯留 跳躍藥水
滞留型飘浮药水	滯留 懸浮藥水
滞留型幸运药水	滯留 幸運藥水
滞留型平凡的药水	滯留 平凡藥水
滞留型夜视药水	滯留 夜視藥水
滞留型渗浆药水	滯留 滲漿藥水
滞留型剧毒药水	滯留 劇毒藥水
滞留型再生药水	滯留 回復藥水
滞留型缓降药水	滯留 緩降藥水
滞留型迟缓药水	滯留 緩速藥水
滞留型力量药水	滯留 力量藥水
滞留型迅捷药水	滯留 迅捷藥水
滞留型浓稠的药水	滯留 黏稠藥水
滞留型神龟药水	滯留 龜仙藥水
滞留型水瓶	滯留 水瓶
滞留型水肺药水	滯留 水下呼吸藥水
滞留型虚弱药水	滯留 虛弱藥水
滞留型盘丝药水	滯留 結網藥水
滞留型蓄风药水	滯留 蘊風藥水
羊驼刷怪蛋	駱馬 生怪蛋
磁石指针	磁石羅盤
重锤	重錘
品红色收纳袋	洋紅色束口袋
品红色染料	洋紅色染料
品红色挽具	洋紅色帽鞍
岩浆膏	岩漿球
岩浆怪刷怪蛋	岩漿立方怪 生怪蛋
空地图	空白地圖
西瓜种子	西瓜種子
西瓜片	西瓜片
奶桶	鮮奶桶
采矿纹样陶片	礦工陶器碎片
Mojang徽标	Mojang 圖紋
Mojang徽标旗帜图案	Mojang 標誌旗幟圖案
哞菇刷怪蛋	哞菇 生怪蛋
悲恸纹样陶片	悼惜陶器碎片
骡刷怪蛋	騾子 生怪蛋
蘑菇煲	蘑菇湯
音乐唱片	唱片
C418 - 11	C418 - 11
C418 - 13	C418 - 13
Samuel Åberg - 5	Samuel Åberg - 5
C418 - blocks	C418 - blocks
C418 - cat	C418 - cat
C418 - chirp	C418 - chirp
Lena Raine - Creator	Lena Raine - Creator
Lena Raine - Creator（八音盒）	Lena Raine - Creator（音樂盒）
C418 - far	C418 - far
Hyper Potions - Lava Chicken	Hyper Potions - Lava Chicken
C418 - mall	C418 - mall
C418 - mellohi	C418 - mellohi
Lena Raine - otherside	Lena Raine - otherside
Lena Raine - Pigstep	Lena Raine - Pigstep
Aaron Cherof - Precipice	Aaron Cherof - Precipice
Aaron Cherof - Relic	Aaron Cherof - Relic
C418 - stal	C418 - stal
C418 - strad	C418 - strad
Amos Roddy - Tears	Amos Roddy - Tears
C418 - wait	C418 - wait
C418 - ward	C418 - ward
生羊肉	生羊肉
命名牌	命名牌
鹦鹉螺壳	鸚鵡螺殼
下界砖	地獄磚頭
下界之星	地獄之星
下界合金斧	獄髓斧
下界合金靴子	獄髓靴子
下界合金胸甲	獄髓胸甲
下界合金头盔	獄髓頭盔
下界合金锄	獄髓鋤
下界合金锭	獄髓錠
下界合金护腿	獄髓護腿
下界合金镐	獄髓鎬
下界合金碎片	獄髓碎片
下界合金锹	獄髓鏟
下界合金剑	獄髓劍
下界合金升级	獄髓升級
豹猫刷怪蛋	山貓 生怪蛋
不祥之瓶	不祥之瓶
不祥试炼钥匙	不祥試煉鑰匙
橙色收纳袋	橙色束口袋
橙色染料	橙色染料
橙色挽具	橙色帽鞍
熊猫刷怪蛋	貓熊 生怪蛋
纸	紙
鹦鹉刷怪蛋	鸚鵡 生怪蛋
幻翼膜	夜魅皮膜
